City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,udachny,66.4167,112.4,-17.53,84,100,10.45,RU,1701211130
148,maua,-23.6678,-46.4614,24.89,90,99,1.26,BR,1701211130
149,lakehills,29.6047,-98.9431,17.03,40,42,2.54,US,1701211130
150,vila franca do campo,37.7167,-25.4333,19.23,99,92,2.02,PT,1701211130
151,cabo san lucas,22.8909,-109.9124,29.23,62,0,4.12,MX,1701211115
152,inarajan village,13.2736,144.7484,29.11,85,19,9.21,GU,1701211131
153,nuku'alofa,-21.1333,-175.2,29.19,89,40,5.66,TO,1701211131
154,kidal,18.4411,1.4078,23.96,12,0,3.78,ML,1701211131
155,tazovsky,67.4667,78.7,-16.46,96,100,3.84,RU,1701211131
156,hamilton,39.1834,-84.5333,-2.9,59,0,2.06,US,1701211131
157,klaksvik,62.2266,-6.589,2.51,60,100,8.06,FO,1701211132
158,dudinka,69.4058,86.1778,-26.54,100,33,1.42,RU,1701211132
159,srikakulam,18.3,83.9,20.47,87,91,2.61,IN,1701211132
160,stanley,54.868,-1.6985,0.44,86,20,2.57,GB,1701211132
161,kayangel,8.0823,134.7173,28.81,75,98,8.9,PW,1701211132
162,rabaul,-4.1967,152.1721,27.86,75,51,1.18,PG,1701211133
163,yeppoon,-23.1333,150.7333,26.88,66,1,2.71,AU,1701211133
164,jining,35.405,116.5814,4.66,36,100,6.69,CN,1701210859
165,fauske,67.2588,15.3918,-0.98,74,94,3.34,NO,1701211133
166,talnakh,69.4865,88.3972,-23.73,97,31,1.86,RU,1701211133
167,yatou,37.15,122.3833,0.31,72,95,2.61,CN,1701211134
168,fort mcmurray,56.7268,-111.381,2.77,64,0,4.63,CA,1701211134
169,kudahuvadhoo,2.6708,72.8944,27.57,78,100,4.14,MV,1701211134
170,kristiansund,63.1115,7.732,-3.64,68,20,6.17,NO,1701211134
171,suwayr,30.1171,40.3893,13.52,48,100,3.03,SA,1701211134
172,zyryanovsk,49.7386,84.2719,-14.0,94,33,0.71,KZ,1701211135
173,fale old settlement,-9.3852,-171.2468,28.44,73,100,5.91,TK,1701211135
174,uturoa,-16.7333,-151.4333,26.9,79,67,8.87,PF,1701211135
175,bafq,31.6128,55.4107,13.66,34,0,1.95,IR,1701211135
176,port alfred,-33.5906,26.891,18.43,79,100,3.58,ZA,1701211135
177,hawaiian paradise park,19.5933,-154.9731,27.71,78,75,6.69,US,1701211136
178,kaitong,44.8135,123.15,-14.73,78,96,3.95,CN,1701211136
179,polyarnyy,69.1989,33.4478,-2.65,87,96,7.24,RU,1701211136
180,inhambane,-23.865,35.3833,24.24,84,33,4.89,MZ,1701211136
181,ulanhot,46.0833,122.0833,-14.71,59,95,5.93,CN,1701211136
182,kralendijk,12.15,-68.2667,28.99,79,20,7.2,BQ,1701211137
183,san luis de la loma,17.2706,-100.8939,27.49,79,100,1.09,MX,1701211137
184,tsiombe,-25.3,45.4833,22.96,96,49,0.82,MG,1701211137
185,portland,45.5234,-122.6762,8.88,58,20,5.66,US,1701211146
186,chonchi,-42.6128,-73.8092,12.56,81,88,3.41,CL,1701211137
187,chernyshevskiy,63.0128,112.4714,-27.11,94,75,1.38,RU,1701211138
188,gizo,-8.103,156.8419,28.47,73,90,0.37,SB,1701211138
189,cayeli,41.0923,40.7292,9.59,57,66,2.72,TR,1701211138
190,west island,-12.1568,96.8225,25.99,65,75,5.14,CC,1701211138
191,yigo village,13.5361,144.8886,28.19,81,0,8.75,GU,1701211138
192,kailua-kona,19.6406,-155.9956,28.06,73,40,5.66,US,1701211139
193,nabire,-3.3667,135.4833,24.47,91,100,1.17,ID,1701211139
194,whitehorse,60.7161,-135.0538,-3.57,68,20,0.0,CA,1701211012
195,newman,37.3138,-121.0208,20.16,30,7,0.45,US,1701211139
196,mandera,3.9366,41.867,28.22,56,58,3.65,KE,1701211139
197,labin,45.095,14.1197,7.74,79,71,3.96,HR,1701211140
198,amga,60.8953,131.9608,-24.96,97,100,0.84,RU,1701211140
199,san antonio de pale,-1.4014,5.6325,26.79,81,25,3.84,GQ,1701211140
200,saipan,15.1355,145.701,28.39,78,40,7.2,MP,1701211140
201,weno,7.4515,151.8468,28.97,74,75,3.6,FM,1701211140
202,xianju,28.85,120.7333,8.04,75,53,1.39,CN,1701211141
203,west bay,19.3667,-81.4167,29.04,79,20,6.17,KY,1701211141
204,dhidhdhoo,6.8833,73.1,27.94,71,93,0.17,MV,1701211141
205,midvagur,62.0511,-7.1939,2.46,69,100,2.06,FO,1701211141
206,san patricio,28.017,-97.5169,16.05,38,70,1.77,US,1701211141
207,bereeda,11.8704,51.0579,25.66,67,74,3.4,SO,1701211142
208,ishigaki,24.3448,124.1572,23.07,68,75,5.14,JP,1701211142
209,vilyuchinsk,52.9306,158.4028,-8.37,76,100,3.62,RU,1701211142
